CustomerID;FirstName;MiddleName;LastName;Suffix;CompanyName;SalesPerson;EmailAddress;Phone;ModifiedDate
136;Derek;;Graham;;Wholesale Parts;adventure-works\josé1;derek0@adventure-works.com;674-555-0187;2005-08-01T00:00:00
137;Gytis;M;Barzdukas;;Transportation Options;adventure-works\josé1;gytis0@adventure-works.com;257-555-0119;2005-11-01T00:00:00
138;Jane;;Clayton;;South Bike Company;adventure-works\garrett1;jane1@adventure-works.com;206-555-0195;2007-08-01T00:00:00
142;Jon;;Grande;;Riding Cycles;adventure-works\jae0;jon1@adventure-works.com;1 (11) 500 555-0114;2007-09-01T00:00:00
145;Ted;;Bremer;;Raw Materials Inc;adventure-works\pamela0;ted0@adventure-works.com;962-555-0166;2005-08-01T00:00:00
146;Richard;;Bready;;Latest Sports Equipment;adventure-works\david8;richard1@adventure-works.com;340-555-0131;2005-07-01T00:00:00
147;Alice;;Clark;;Local Hardware Factory;adventure-works\jillian0;alice1@adventure-works.com;221-555-0141;2006-09-01T00:00:00
148;Alan;;Brewer;;Lots of Bikes Storehouse;adventure-works\jillian0;alan1@adventure-works.com;494-555-0134;2005-11-01T00:00:00
149;Cornelius;L.;Brandon;;Initial Bike Company;adventure-works\shu0;cornelius0@adventure-works.com;229-555-0114;2006-09-01T00:00:00
150;Jill;J.;Christie;;Fleet Bikes;adventure-works\linda3;jill1@adventure-works.com;927-555-0198;2006-08-01T00:00:00
151;Walter;J.;Brian;IV;Futuristic Bikes;adventure-works\shu0;walter0@adventure-works.com;163-555-0155;2006-09-01T00:00:00
154;Carlton;M.;Carlisle;;Camping and Sports Store;adventure-works\josé1;carlton0@adventure-works.com;193-555-0116;2007-09-01T00:00:00
155;Joseph;N.;Castellucio;;Corner Bicycle Supply;adventure-works\josé1;joseph1@adventure-works.com;180-555-0114;2005-09-01T00:00:00
156;Lester;J.;Bowman;Sr.;Metal Processing Company;adventure-works\garrett1;lester0@adventure-works.com;844-555-0112;2005-09-01T00:00:00
160;Brigid;F.;Cavendish;;Vigorous Sports Store;adventure-works\jae0;brigid0@adventure-works.com;1 (11) 500 555-0178;2006-09-01T00:00:00
163;Andrew;;Cencini;;Sports Merchandise;adventure-works\pamela0;andrew2@adventure-works.com;644-555-0111;2007-09-01T00:00:00
164;Cindy;M.;Dodd;;Suburban Cycle Shop;adventure-works\david8;cindy0@adventure-works.com;706-555-0140;2005-08-01T00:00:00
165;Randall;;Boseman;;Third Bike Store;adventure-works\jillian0;randall0@adventure-works.com;383-555-0117;2006-09-01T00:00:00
166;Stacey;M.;Cereghino;;Fitness Toy Store;adventure-works\jillian0;stacey0@adventure-works.com;351-555-0131;2005-07-01T00:00:00
167;Blaine;;Dockter;;Farthermost Bike Shop;adventure-works\shu0;blaine0@adventure-works.com;156-555-0187;2005-08-01T00:00:00
168;Luis;;Bonifaz;;Economy Bikes Company;adventure-works\linda3;luis0@adventure-works.com;688-555-0113;2006-09-01T00:00:00
169;Brenda;;Diaz;;Downtown Hotel;adventure-works\shu0;brenda2@adventure-works.com;147-555-0192;2005-09-01T00:00:00
172;Gabriele;;Dickmann;;Certified Sports Supply;adventure-works\josé1;gabriele0@adventure-works.com;835-555-0116;2005-09-01T00:00:00
173;Rudolph;J.;Dillon;Sr.;Sundry Sporting Goods;adventure-works\josé1;rudolph0@adventure-works.com;722-555-0169;2005-09-01T00:00:00
174;Michael;L.;Bohling;;Toy Manufacturing Inc;adventure-works\garrett1;michael12@adventure-works.com;838-555-0147;2005-09-01T00:00:00
178;Dick;;Dievendorff;;Rampart Amusement Company;adventure-works\jae0;dick1@adventure-works.com;1 (11) 500 555-0193;2007-08-01T00:00:00
180;Nicky;E.;Chesnut;;Full-Service Bike Store;adventure-works\michael9;nicky0@adventure-works.com;264-555-0164;2005-09-01T00:00:00
181;Michael;J.;Lee;;Family Entertainment Center;adventure-works\pamela0;michael18@adventure-works.com;396-555-0139;2007-08-01T00:00:00
182;Stanley;A.;Alan;Jr.;Another Bicycle Company;adventure-works\david8;stanley0@adventure-works.com;156-555-0126;2007-09-01T00:00:00
183;Yao-Qiang;;Cheng;;This Area Sporting Goods;adventure-works\jillian0;yao-qiang0@adventure-works.com;344-555-0181;2006-07-01T00:00:00
184;Marjorie;M.;Lee;;Go-cart and Bike Specialists;adventure-works\jillian0;marjorie0@adventure-works.com;306-555-0166;2006-07-01T00:00:00
185;Sandeep;;Kaliyath;;Weekend Bike Tours;adventure-works\shu0;sandeep1@adventure-works.com;495-555-0113;2007-07-01T00:00:00
186;Pei;;Chow;;Thrilling Bike Tours;adventure-works\linda3;pei0@adventure-works.com;789-555-0184;2007-09-01T00:00:00
187;Frank;;Campbell;;Trailblazing Sports;adventure-works\shu0;frank4@adventure-works.com;491-555-0132;2005-09-01T00:00:00
190;Mark;;Lee;;Racing Partners;adventure-works\josé1;mark5@adventure-works.com;371-555-0112;2007-09-01T00:00:00
191;Sandra;T.;Kitt;;Non-Slip Pedal Company;adventure-works\josé1;sandra2@adventure-works.com;303-555-0117;2005-08-01T00:00:00
192;Hao;;Chen;;Nuts and Bolts Mfg.;adventure-works\garrett1;hao1@adventure-works.com;117-555-0173;2005-08-01T00:00:00
196;Jolie;;Lenehan;;Exhibition Showroom;adventure-works\jae0;jolie0@adventure-works.com;1 (11) 500 555-0126;2007-07-01T00:00:00
197;Diane;F.;Krane;;Fabrikam Inc., West;adventure-works\michael9;diane4@adventure-works.com;224-555-0126;2006-09-01T00:00:00
198;Payton;P.;Benson;;Field Trip Inc;adventure-works\michael9;payton0@adventure-works.com;528-555-0183;2005-11-01T00:00:00
199;Roger;;Lengel;;Authorized Bike Sales and Rental;adventure-works\pamela0;roger1@adventure-works.com;947-555-0143;2007-08-01T00:00:00
200;Peggy;J.;Justice;;Basic Bike Company;adventure-works\david8;peggy0@adventure-works.com;170-555-0189;2005-07-01T00:00:00
201;Edna;J.;Benson;;Unsurpassed Bikes;adventure-works\jillian0;edna0@adventure-works.com;789-555-0189;2007-09-01T00:00:00
202;A.;Francesca;Leonetti;;Two-Seater Bikes;adventure-works\jillian0;a0@adventure-works.com;645-555-0193;2007-09-01T00:00:00
203;Jean;;Jordan;;Separate Parts Corporation;adventure-works\shu0;jean3@adventure-works.com;207-555-0129;2005-07-01T00:00:00
204;Ido;;Ben-Sachar;;Traction Tire Company;adventure-works\linda3;ido0@adventure-works.com;973-555-0112;2005-07-01T00:00:00
205;Frank;;Mart¡nez;;Rally Master Company Inc;adventure-works\shu0;frank5@adventure-works.com;171-555-0147;2007-07-01T00:00:00
208;Steve;;Masters;;Professional Cyclists;adventure-works\josé1;steve2@adventure-works.com;154-555-0115;2005-08-01T00:00:00
209;Robert;E.;Jones;;Purple Bicycle Company;adventure-works\josé1;robert6@adventure-works.com;595-555-0131;2005-08-01T00:00:00
210;Josh;;Barnhill;;Gasless Cycle Shop;adventure-works\garrett1;josh0@adventure-works.com;584-555-0192;2005-08-01T00:00:00
214;Jennifer;J.;Maxham;;Exclusive Bicycle Mart;adventure-works\jae0;jennifer1@adventure-works.com;1 (11) 500 555-0175;2006-08-01T00:00:00
217;Chris;;Maxwell;;City Manufacturing;adventure-works\pamela0;chris6@adventure-works.com;642-555-0187;2006-11-01T00:00:00
218;David;;Johnson;;Sure & Reliable Sporting Goods;adventure-works\david8;david18@adventure-works.com;476-555-0139;2005-08-01T00:00:00
219;Brian;;Johnson;;Extras Sporting Goods;adventure-works\jillian0;brian6@adventure-works.com;320-555-0134;2007-03-01T00:00:00
220;Robert;;Brown;;Best o' Bikes;adventure-works\jillian0;robert5@adventure-works.com;575-555-0189;2007-07-01T00:00:00
221;Sandra;B.;Maynard;;Bike Dealers Association;adventure-works\shu0;sandra4@adventure-works.com;993-555-0179;2005-07-01T00:00:00
222;Barry;;Johnson;;Sample Bike Store;adventure-works\linda3;barry1@adventure-works.com;858-555-0140;2005-09-01T00:00:00
223;Joyce;;Jarvis;;Paints and Solvents Company;adventure-works\shu0;joyce0@adventure-works.com;458-555-0179;2007-09-01T00:00:00
226;Vance;P.;Johns;;Leisure Activities;adventure-works\josé1;vance0@adventure-works.com;103-555-0151;2006-08-01T00:00:00
227;Robin;M.;McGuigan;;Health Spa, Limited;adventure-works\josé1;robin0@adventure-works.com;431-555-0153;2005-07-01T00:00:00
228;Danielle;B.;Johnson;;Home Town Bike Store;adventure-works\garrett1;danielle1@adventure-works.com;356-555-0190;2007-09-01T00:00:00
232;David;;Jaffe;;Exceptional Cycle Services;adventure-works\jae0;david17@adventure-works.com;1 (11) 500 555-0140;2007-07-01T00:00:00
235;Mary;;Alexander;;Certified Bicycle Supply;adventure-works\pamela0;mary7@adventure-works.com;344-555-0133;2006-09-01T00:00:00
236;Lola;M.;McCarthy;;Closeout Boutique;adventure-works\david8;lola0@adventure-works.com;173-555-0151;2006-08-01T00:00:00
237;Mary;K.;Browning;;Client Discount Store;adventure-works\jillian0;mary5@adventure-works.com;658-555-0146;2006-08-01T00:00:00
238;Jodan;M.;Jacobson;;A Great Bicycle Company;adventure-works\jillian0;jodan0@adventure-works.com;652-555-0189;2005-09-01T00:00:00
239;Jane;A.;McCarty;;Bicycle Merchandise Warehouse;adventure-works\shu0;jane3@adventure-works.com;529-555-0195;2006-09-01T00:00:00
240;Jessie;E.;Valerio;;Wire Baskets and Parts;adventure-works\linda3;jessie0@adventure-works.com;103-555-0179;2005-08-01T00:00:00
241;Eric;A.;Jacobsen;;Vale Riding Supplies;adventure-works\shu0;eric5@adventure-works.com;703-555-0120;2007-07-01T00:00:00
244;Bronson;R.;Jacobs;;Retail Discount Store;adventure-works\josé1;bronson0@adventure-works.com;697-555-0131;2008-06-01T00:00:00
245;James;L.;McCoy;II;Leather Seat Factory;adventure-works\josé1;james12@adventure-works.com;191-555-0151;2006-07-01T00:00:00
246;Esther;K.;Valle;;Large Bike Shop;adventure-works\garrett1;esther0@adventure-works.com;481-555-0131;2006-07-01T00:00:00
250;Denean;J.;Ison;;Express Bike Services;adventure-works\jae0;denean0@adventure-works.com;1 (11) 500 555-0127;2007-08-01T00:00:00
253;Erik;;Ismert;;Roving Sports;adventure-works\pamela0;erik0@adventure-works.com;116-555-0163;2006-07-01T00:00:00
254;Robert;M.;Bernacchi;;Safe Cycles Shop;adventure-works\david8;robert4@adventure-works.com;449-555-0176;2006-09-01T00:00:00
255;Sunil;;Uppal;;Swift Cycles;adventure-works\jillian0;sunil0@adventure-works.com;184-555-0187;2005-08-01T00:00:00
256;Richard;L.;Irwin;;Rental Bikes;adventure-works\jillian0;richard4@adventure-works.com;367-555-0124;2005-08-01T00:00:00
257;Matthias;;Berndt;;Number 1 Supply;adventure-works\shu0;matthias1@adventure-works.com;384-555-0169;2006-08-01T00:00:00
258;Sairaj;;Uddin;;Quantity Discounts;adventure-works\linda3;sairaj1@adventure-works.com;767-555-0193;2006-08-01T00:00:00
259;Lucio;;Iallo;;Highway Bike Shop;adventure-works\shu0;lucio0@adventure-works.com;199-555-0135;2005-08-01T00:00:00
262;Beth;;Inghram;;General Industries;adventure-works\josé1;beth0@adventure-works.com;718-555-0152;2006-09-01T00:00:00
263;Timothy;B.;Burnett;Jr.;Farthest Bike Store;adventure-works\josé1;timothy0@adventure-works.com;251-555-0172;2007-08-01T00:00:00
264;Phyllis;B.;Tuffield;;Fasteners & Bolts Outlet;adventure-works\garrett1;phyllis3@adventure-works.com;277-555-0182;2007-08-01T00:00:00
268;Richard;A.;Byham;;Channel Outlet;adventure-works\jae0;richard2@adventure-works.com;1 (11) 500 555-0138;2007-09-01T00:00:00
271;Jared;L.;Bustamante;;Alternative Vehicles;adventure-works\pamela0;jared0@adventure-works.com;164-555-0147;2005-11-01T00:00:00
272;Henry;L.;Campen;;Metro Cycle Shop;adventure-works\david8;henry0@adventure-works.com;635-555-0126;2005-09-01T00:00:00
273;Christie;J.;Trujillo;;A Typical Bike Shop;adventure-works\jillian0;christie0@adventure-works.com;686-555-0180;2005-09-01T00:00:00
274;Janet;J.;Gilliat;;Active Systems;adventure-works\jillian0;janet2@adventure-works.com;521-555-0183;2006-07-01T00:00:00
275;Chris;;Cannon;;Outdoor Sporting Goods;adventure-works\shu0;chris5@adventure-works.com;118-555-0131;2007-07-01T00:00:00
276;Michael John;R.;Troyer;;Thrifty Parts and Sales;adventure-works\linda3;michaeljohn0@adventure-works.com;308-555-0175;2007-09-01T00:00:00
277;Guy;;Gilbert;;The Bicycle Accessories Company;adventure-works\shu0;guy0@adventure-works.com;583-555-0198;2006-09-01T00:00:00
280;Frances;J.;Giglio;;Standard Bikes;adventure-works\josé1;frances1@adventure-works.com;692-555-0136;2006-08-01T00:00:00
281;Suzana De Abreu;A.;Canuto;;Petroleum Products Distributors;adventure-works\josé1;suzanadeabreu0@adventure-works.com;990-555-0141;2007-09-01T00:00:00
282;Billy;J.;Trent;;Quick Parts and Service;adventure-works\garrett1;billy0@adventure-works.com;882-555-0115;2007-09-01T00:00:00
286;Leo;;Giakoumakis;;Number One Bike Co.;adventure-works\jae0;leo0@adventure-works.com;1 (11) 500 555-0169;2006-07-01T00:00:00
287;Grant;;Culbertson;;Handy Bike Services;adventure-works\michael9;grant1@adventure-works.com;859-555-0173;2005-08-01T00:00:00
288;Robert;L.;Barker;;Kickstand Sellers;adventure-works\michael9;robert3@adventure-works.com;241-555-0112;2006-12-01T00:00:00
289;Gabriel;L.;Bockenkamp;;Moderately-Priced Bikes Store;adventure-works\pamela0;gabriel0@adventure-works.com;763-555-0145;2005-08-01T00:00:00
290;Scott;;Culp;;Friendly Bike Shop;adventure-works\david8;scott3@adventure-works.com;119-555-0167;2006-07-01T00:00:00
291;Wayne;N.;Banack;;Grand Bicycle Stores;adventure-works\jillian0;wayne0@adventure-works.com;640-555-0189;2006-09-01T00:00:00
292;Michael;Greg;Blythe;;Grease and Oil Products Company;adventure-works\jillian0;michael11@adventure-works.com;126-555-0172;2005-07-01T00:00:00
293;Conor;;Cunningham;;Fashionable Bikes and Accessories;adventure-works\shu0;conor0@adventure-works.com;115-555-0113;2005-09-01T00:00:00
294;Alberto;F.;Baltazar;;Flawless Bike Shop;adventure-works\linda3;alberto0@adventure-works.com;780-555-0114;2005-09-01T00:00:00
295;Joseph;P.;Mitzner;Jr.;Engineered Bike Systems;adventure-works\shu0;joseph4@adventure-works.com;129-555-0164;2007-09-01T00:00:00
298;Robert;;Mitosinka;;City Cycling;adventure-works\josé1;robert10@adventure-works.com;239-555-0198;2007-09-01T00:00:00
299;Thierry;;D'Hers;;Citywide Service and Repair;adventure-works\josé1;thierry1@adventure-works.com;680-555-0192;2006-07-01T00:00:00
300;Daniel;;Blanco;;Nice Bikes;adventure-works\garrett1;daniel0@adventure-works.com;221-555-0167;2006-09-01T00:00:00
304;Linda;;Mitchell;;Essential Bike Works;adventure-works\jae0;linda9@adventure-works.com;1 (11) 500 555-0182;2007-09-01T00:00:00
306;Stephen;M.;Ayers;;Work and Play Association;adventure-works\michael9;stephen1@adventure-works.com;818-555-0171;2006-09-01T00:00:00
307;Neva;M.;Mitchell;;Riding Associates;adventure-works\pamela0;neva0@adventure-works.com;992-555-0134;2007-08-01T00:00:00
308;Megan;N.;Davis;;Rugged Bikes;adventure-works\david8;megan1@adventure-works.com;839-555-0198;2007-09-01T00:00:00
309;John;;Arthur;;The Gear Store;adventure-works\jillian0;john6@adventure-works.com;149-555-0113;2005-08-01T00:00:00
310;Frank;;Miller;;Orange Bicycle Company;adventure-works\jillian0;frank6@adventure-works.com;118-555-0184;2006-08-01T00:00:00
311;Alvaro;;De Matos Miranda Filho;;Principal Bike Company;adventure-works\shu0;alvaro0@adventure-works.com;551-555-0155;2006-09-01T00:00:00
312;Thomas;B.;Armstrong;Jr.;Resale Services;adventure-works\linda3;thomas1@adventure-works.com;226-555-0146;2005-08-01T00:00:00
313;Dylan;;Miller;;Metropolitan Manufacturing;adventure-works\shu0;dylan1@adventure-works.com;140-555-0192;2005-11-01T00:00:00
316;Ben;;Miller;;Low Price Cycles;adventure-works\josé1;ben1@adventure-works.com;207-555-0167;2007-08-01T00:00:00
